Junction,Date,Time,Direction,car,motorbike,bus,truck,total
0,01-11-2023,10:54:00,1,0,1,0,0,1
0,01-11-2023,10:54:00,2,1,3,0,0,4
0,01-11-2023,10:54:00,3,1,3,0,0,4
0,01-11-2023,10:54:00,4,1,0,1,0,2
0,01-11-2023,10:55:00,1,0,0,0,0,0
0,01-11-2023,10:55:00,2,0,1,0,0,1
0,01-11-2023,10:55:00,3,2,1,0,1,4
0,01-11-2023,10:55:00,4,4,4,0,0,8
0,01-11-2023,10:56:00,1,0,0,0,0,0
0,01-11-2023,10:56:00,2,1,0,1,1,3
0,01-11-2023,10:56:00,3,0,0,0,0,0
0,01-11-2023,10:56:00,4,3,1,0,0,4
0,01-11-2023,10:57:00,1,1,2,0,0,3
0,01-11-2023,10:57:00,2,0,2,0,0,2
0,01-11-2023,10:57:00,3,4,2,0,0,6
0,01-11-2023,10:57:00,4,2,4,0,0,6
0,01-11-2023,10:58:00,1,0,1,0,0,1
0,01-11-2023,10:58:00,2,2,9,2,1,14
0,01-11-2023,10:58:00,3,0,0,0,0,0
0,01-11-2023,10:58:00,4,2,0,0,0,2
0,01-11-2023,10:59:00,1,0,1,0,0,1
0,01-11-2023,10:59:00,2,0,0,1,0,1
0,01-11-2023,10:59:00,3,1,2,0,0,3
0,01-11-2023,10:59:00,4,0,1,0,0,1
0,01-11-2023,11:00:00,1,1,0,0,0,1
0,01-11-2023,11:00:00,2,0,3,0,1,4
0,01-11-2023,11:00:00,3,0,3,0,0,3
0,01-11-2023,11:00:00,4,0,0,0,0,0
0,01-11-2023,11:01:00,1,0,0,0,0,0
0,01-11-2023,11:01:00,2,0,4,0,1,5
0,01-11-2023,11:01:00,3,2,0,0,1,3
0,01-11-2023,11:01:00,4,2,3,0,0,5
0,01-11-2023,11:02:00,1,0,0,0,0,0
0,01-11-2023,11:02:00,2,1,0,0,0,1
0,01-11-2023,11:02:00,3,2,2,0,2,6
0,01-11-2023,11:02:00,4,0,0,0,0,0
0,01-11-2023,11:03:00,1,0,0,0,0,0
0,01-11-2023,11:03:00,2,1,7,4,0,12
0,01-11-2023,11:03:00,3,0,2,0,0,2
0,01-11-2023,11:03:00,4,2,1,0,0,3
0,01-11-2023,11:04:00,1,0,1,0,0,1
0,01-11-2023,11:04:00,2,1,2,0,1,4
0,01-11-2023,11:04:00,3,2,1,0,0,3
0,01-11-2023,11:04:00,4,4,0,0,0,4
0,01-11-2023,11:05:00,1,0,0,0,0,0
0,01-11-2023,11:05:00,2,0,2,0,0,2
0,01-11-2023,11:05:00,3,3,2,0,0,5
0,01-11-2023,11:05:00,4,2,0,0,0,2
0,01-11-2023,11:06:00,1,0,0,0,0,0
0,01-11-2023,11:06:00,2,2,2,2,0,6
0,01-11-2023,11:06:00,3,1,0,0,0,1
0,01-11-2023,11:06:00,4,4,2,0,0,6
0,01-11-2023,11:07:00,1,2,1,0,0,3
0,01-11-2023,11:07:00,2,1,0,0,0,1
0,01-11-2023,11:07:00,3,1,3,0,1,5
0,01-11-2023,11:07:00,4,0,0,0,1,1
0,01-11-2023,11:08:00,1,0,0,0,0,0
0,01-11-2023,11:08:00,2,1,4,4,1,10
0,01-11-2023,11:08:00,3,0,1,0,0,1
0,01-11-2023,11:08:00,4,0,0,0,0,0
0,01-11-2023,11:09:00,1,0,0,0,0,0
0,01-11-2023,11:09:00,2,0,0,0,0,0
